Species: 1: 1. Tains Ants;  
Nations: 2: 1. First Nation;  2. Second Nation;  
Bases:   2: 1. Base, 500, 500;  2. Base, 510, 510;  
Tains Ants, Second Nation, 64: 513, 513, 230
Tains Ants, Second Nation, 65: 507, 508, 58
Tains Ants, Second Nation, 66: 514, 512, 246
Tains Ants, Second Nation, 67: 506, 509, 74
Tains Ants, Second Nation, 68: 514, 511, 262
Tains Ants, Second Nation, 69: 506, 510, 90
Tains Ants, Second Nation, 70: 514, 509, 278
Tains Ants, Second Nation, 71: 506, 511, 106
Tains Ants, Second Nation, 72: 514, 508, 294
Tains Ants, Second Nation, 73: 507, 512, 122
Tains Ants, Second Nation, 74: 513, 507, 310
Tains Ants, Second Nation, 75: 507, 513, 138
Tains Ants, Second Nation, 76: 512, 507, 326
Tains Ants, Second Nation, 77: 508, 514, 155
Tains Ants, Second Nation, 78: 511, 506, 343
Tains Ants, Second Nation, 79: 509, 514, 171
Tains Ants, Second Nation, 80: 510, 506, 359
Tains Ants, Second Nation, 81: 510, 514, 187
Tains Ants, Second Nation, 82: 509, 506, 15
Tains Ants, Second Nation, 83: 512, 514, 203
Tains Ants, Second Nation, 84: 508, 507, 31
Tains Ants, Second Nation, 85: 513, 513, 219
Tains Ants, Second Nation, 86: 507, 507, 47
Tains Ants, Second Nation, 87: 513, 512, 235
Tains Ants, Second Nation, 88: 506, 508, 63
Tains Ants, Second Nation, 89: 514, 511, 251
Tains Ants, Second Nation, 90: 506, 509, 79
Tains Ants, Second Nation, 91: 514, 510, 268
Tains Ants, Second Nation, 92: 506, 510, 96
Tains Ants, Second Nation, 93: 514, 509, 284
Tains Ants, Second Nation, 94: 506, 511, 112
Tains Ants, Second Nation, 95: 513, 508, 300
Tains Ants, Second Nation, 96: 507, 512, 128
Tains Ants, Second Nation, 97: 513, 507, 316
Tains Ants, Second Nation, 98: 508, 513, 144
Tains Ants, Second Nation, 99: 512, 506, 332
Tains Ants, Second Nation, 100: 509, 514, 160
*********************
 Round, 2:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 508, 502, 261
Tains Ants, First Nation, 2: 492, 500, 89
Tains Ants, First Nation, 3: 508, 500, 277
Tains Ants, First Nation, 4: 492, 502, 105
Tains Ants, First Nation, 5: 508, 496, 293
Tains Ants, First Nation, 6: 494, 504, 121
Tains Ants, First Nation, 7: 506, 494, 309
Tains Ants, First Nation, 8: 494, 506, 137
Tains Ants, First Nation, 9: 504, 494, 326
Tains Ants, First Nation, 10: 496, 508, 154
Tains Ants, First Nation, 11: 502, 492, 342
Tains Ants, First Nation, 12: 498, 508, 170
Tains Ants, First Nation, 13: 500, 492, 358
Tains Ants, First Nation, 14: 500, 508, 186
Tains Ants, First Nation, 15: 498, 492, 14
Tains Ants, First Nation, 16: 502, 508, 202
Tains Ants, First Nation, 17: 496, 494, 30
Tains Ants, First Nation, 18: 504, 506, 218
Tains Ants, First Nation, 19: 494, 494, 46
Tains Ants, First Nation, 20: 506, 504, 234
Tains Ants, First Nation, 21: 492, 496, 62
Tains Ants, First Nation, 22: 508, 502, 250
Tains Ants, First Nation, 23: 492, 498, 79
Tains Ants, First Nation, 24: 508, 500, 267
Tains Ants, First Nation, 25: 492, 500, 95
Tains Ants, First Nation, 26: 508, 498, 283
Tains Ants, First Nation, 27: 492, 502, 111
Tains Ants, First Nation, 28: 506, 496, 299
Tains Ants, First Nation, 29: 494, 504, 127
Tains Ants, First Nation, 30: 506, 494, 315
Tains Ants, First Nation, 31: 496, 506, 143
Tains Ants, First Nation, 32: 504, 494, 331
Tains Ants, First Nation, 33: 498, 508, 159
Tains Ants, First Nation, 34: 502, 492, 347
Tains Ants, First Nation, 35: 500, 508, 175
Tains Ants, First Nation, 36: 500, 492, 4
Tains Ants, First Nation, 37: 502, 508, 192
Tains Ants, First Nation, 38: 498, 492, 20
Tains Ants, First Nation, 39: 504, 508, 208
Tains Ants, First Nation, 40: 496, 494, 36
Tains Ants, First Nation, 41: 506, 506, 224
Tains Ants, First Nation, 42: 494, 496, 52
Tains Ants, First Nation, 43: 506, 504, 240
Tains Ants, First Nation, 44: 492, 498, 68
Tains Ants, First Nation, 45: 508, 502, 256
Tains Ants, First Nation, 46: 492, 500, 84
Tains Ants, First Nation, 47: 508, 500, 272
Tains Ants, First Nation, 48: 492, 502, 100
Tains Ants, First Nation, 49: 508, 498, 288
Tains Ants, First Nation, 50: 492, 504, 117
Tains Ants, Second Nation, 51: 516, 506, 305
Tains Ants, Second Nation, 52: 504, 516, 133
Tains Ants, Second Nation, 53: 516, 504, 321
Tains Ants, Second Nation, 54: 506, 516, 149
Tains Ants, Second Nation, 55: 514, 502, 337
Tains Ants, Second Nation, 56: 508, 518, 165
Tains Ants, Second Nation, 57: 510, 502, 353
Tains Ants, Second Nation, 58: 510, 518, 181
Tains Ants, Second Nation, 59: 508, 502, 9
Tains Ants, Second Nation, 60: 512, 518, 197
Tains Ants, Second Nation, 61: 506, 502, 25
Tains Ants, Second Nation, 62: 514, 516, 213
Tains Ants, Second Nation, 63: 504, 504, 41
Tains Ants, Second Nation, 64: 516, 516, 230
Tains Ants, Second Nation, 65: 504, 506, 58
Tains Ants, Second Nation, 66: 518, 514, 246
Tains Ants, Second Nation, 67: 502, 508, 74
Tains Ants, Second Nation, 68: 518, 512, 262
Tains Ants, Second Nation, 69: 502, 510, 90
Tains Ants, Second Nation, 70: 518, 508, 278
Tains Ants, Second Nation, 71: 502, 512, 106
Tains Ants, Second Nation, 72: 518, 506, 294
Tains Ants, Second Nation, 73: 504, 514, 122
Tains Ants, Second Nation, 74: 516, 504, 310
Tains Ants, Second Nation, 75: 504, 516, 138
Tains Ants, Second Nation, 76: 514, 504, 326
Tains Ants, Second Nation, 77: 506, 518, 155
Tains Ants, Second Nation, 78: 512, 502, 343
Tains Ants, Second Nation, 79: 508, 518, 171
Tains Ants, Second Nation, 80: 510, 502, 359
Tains Ants, Second Nation, 81: 510, 518, 187
Tains Ants, Second Nation, 82: 508, 502, 15
Tains Ants, Second Nation, 83: 514, 518, 203
Tains Ants, Second Nation, 84: 506, 504, 31
Tains Ants, Second Nation, 85: 516, 516, 219
Tains Ants, Second Nation, 86: 504, 504, 47
Tains Ants, Second Nation, 87: 516, 514, 235
Tains Ants, Second Nation, 88: 502, 506, 63
Tains Ants, Second Nation, 89: 518, 512, 251
Tains Ants, Second Nation, 90: 502, 508, 79
Tains Ants, Second Nation, 91: 518, 510, 268
Tains Ants, Second Nation, 92: 502, 510, 96
Tains Ants, Second Nation, 93: 518, 508, 284
Tains Ants, Second Nation, 94: 502, 512, 112
Tains Ants, Second Nation, 95: 516, 506, 300
Tains Ants, Second Nation, 96: 504, 514, 128
Tains Ants, Second Nation, 97: 516, 504, 316
Tains Ants, Second Nation, 98: 506, 516, 144
Tains Ants, Second Nation, 99: 514, 502, 332
Tains Ants, Second Nation, 100: 508, 518, 160
*********************
 Round, 3:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 512, 503, 261
Tains Ants, First Nation, 2: 488, 500, 89
Tains Ants, First Nation, 3: 512, 500, 277
Tains Ants, First Nation, 4: 488, 503, 105
Tains Ants, First Nation, 5: 512, 494, 293
Tains Ants, First Nation, 6: 491, 506, 121
Tains Ants, First Nation, 7: 509, 491, 309
Tains Ants, First Nation, 8: 491, 509, 137
Tains Ants, First Nation, 9: 506, 491, 326
Tains Ants, First Nation, 10: 494, 512, 154
Tains Ants, First Nation, 11: 503, 488, 342
Tains Ants, First Nation, 12: 497, 512, 170
Tains Ants, First Nation, 13: 500, 488, 358
Tains Ants, First Nation, 14: 500, 512, 186
Tains Ants, First Nation, 15: 497, 488, 14
Tains Ants, First Nation, 16: 503, 512, 202
Tains Ants, First Nation, 17: 494, 491, 30
Tains Ants, First Nation, 18: 506, 509, 218
Tains Ants, First Nation, 19: 491, 491, 46
Tains Ants, First Nation, 20: 509, 506, 234
Tains Ants, First Nation, 21: 488, 494, 62
Tains Ants, First Nation, 22: 512, 503, 250
Tains Ants, First Nation, 23: 488, 497, 79
Tains Ants, First Nation, 24: 512, 500, 267
Tains Ants, First Nation, 25: 488, 500, 95
Tains Ants, First Nation, 26: 512, 497, 283
Tains Ants, First Nation, 27: 488, 503, 111
Tains Ants, First Nation, 28: 509, 494, 299
Tains Ants, First Nation, 29: 491, 506, 127
Tains Ants, First Nation, 30: 509, 491, 315
Tains Ants, First Nation, 31: 494, 509, 143
Tains Ants, First Nation, 32: 506, 491, 331
Tains Ants, First Nation, 33: 497, 512, 159
Tains Ants, First Nation, 34: 503, 488, 347
Tains Ants, First Nation, 35: 500, 512, 175
Tains Ants, First Nation, 36: 500, 488, 4
Tains Ants, First Nation, 37: 503, 512, 192
Tains Ants, First Nation, 38: 497, 488, 20
Tains Ants, First Nation, 39: 506, 512, 208
Tains Ants, First Nation, 40: 494, 491, 36
Tains Ants, First Nation, 41: 509, 509, 224
Tains Ants, First Nation, 42: 491, 494, 52
Tains Ants, First Nation, 43: 509, 506, 240
Tains Ants, First Nation, 44: 488, 497, 68
Tains Ants, First Nation, 45: 512, 503, 256
Tains Ants, First Nation, 46: 488, 500, 84
Tains Ants, First Nation, 47: 512, 500, 272
Tains Ants, First Nation, 48: 488, 503, 100
Tains Ants, First Nation, 49: 512, 497, 288
Tains Ants, First Nation, 50: 488, 506, 117
Tains Ants, Second Nation, 51: 519, 504, 305
Tains Ants, Second Nation, 52: 501, 519, 133
Tains Ants, Second Nation, 53: 519, 501, 321
Tains Ants, Second Nation, 54: 504, 519, 149
Tains Ants, Second Nation, 55: 516, 498, 337
Tains Ants, Second Nation, 56: 507, 522, 165
Tains Ants, Second Nation, 57: 510, 498, 353
Tains Ants, Second Nation, 58: 510, 522, 181
Tains Ants, Second Nation, 59: 507, 498, 9
Tains Ants, Second Nation, 60: 513, 522, 197
Tains Ants, Second Nation, 61: 504, 498, 25
Tains Ants, Second Nation, 62: 516, 519, 213
Tains Ants, Second Nation, 63: 501, 501, 41
Tains Ants, Second Nation, 64: 519, 519, 230
Tains Ants, Second Nation, 65: 501, 504, 58
Tains Ants, Second Nation, 66: 522, 516, 246
Tains Ants, Second Nation, 67: 498, 507, 74
Tains Ants, Second Nation, 68: 522, 513, 262
Tains Ants, Second Nation, 69: 498, 510, 90
Tains Ants, Second Nation, 70: 522, 507, 278
Tains Ants, Second Nation, 71: 498, 513, 106
Tains Ants, Second Nation, 72: 522, 504, 294
Tains Ants, Second Nation, 73: 501, 516, 122
Tains Ants, Second Nation, 74: 519, 501, 310
Tains Ants, Second Nation, 75: 501, 519, 138
Tains Ants, Second Nation, 76: 516, 501, 326
Tains Ants, Second Nation, 77: 504, 522, 155
Tains Ants, Second Nation, 78: 513, 498, 343
Tains Ants, Second Nation, 79: 507, 522, 171
Tains Ants, Second Nation, 80: 510, 498, 359
Tains Ants, Second Nation, 81: 510, 522, 187
Tains Ants, Second Nation, 82: 507, 498, 15
Tains Ants, Second Nation, 83: 516, 522, 203
Tains Ants, Second Nation, 84: 504, 501, 31
Tains Ants, Second Nation, 85: 519, 519, 219
Tains Ants, Second Nation, 86: 501, 501, 47
Tains Ants, Second Nation, 87: 519, 516, 235
Tains Ants, Second Nation, 88: 498, 504, 63
Tains Ants, Second Nation, 89: 522, 513, 251
Tains Ants, Second Nation, 90: 498, 507, 79
Tains Ants, Second Nation, 91: 522, 510, 268
Tains Ants, Second Nation, 92: 498, 510, 96
Tains Ants, Second Nation, 93: 522, 507, 284
Tains Ants, Second Nation, 94: 498, 513, 112
Tains Ants, Second Nation, 95: 519, 504, 300
Tains Ants, Second Nation, 96: 501, 516, 128
Tains Ants, Second Nation, 97: 519, 501, 316
Tains Ants, Second Nation, 98: 504, 519, 144
Tains Ants, Second Nation, 99: 516, 498, 332
Tains Ants, Second Nation, 100: 507, 522, 160
*********************
 Round, 4:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 516, 504, 261
Tains Ants, First Nation, 2: 484, 500, 89
Tains Ants, First Nation, 3: 516, 500, 277
Tains Ants, First Nation, 4: 484, 504, 105
Tains Ants, First Nation, 5: 516, 492, 293
Tains Ants, First Nation, 6: 488, 508, 121
Tains Ants, First Nation, 7: 512, 488, 309
Tains Ants, First Nation, 8: 488, 512, 137
Tains Ants, First Nation, 9: 508, 488, 326
Tains Ants, First Nation, 10: 492, 516, 154
Tains Ants, First Nation, 11: 504, 484, 342
Tains Ants, First Nation, 12: 496, 516, 170
Tains Ants, First Nation, 13: 500, 484, 358
Tains Ants, First Nation, 14: 500, 516, 186
Tains Ants, First Nation, 15: 496, 484, 14
Tains Ants, First Nation, 16: 504, 516, 202
Tains Ants, First Nation, 17: 492, 488, 30
Tains Ants, First Nation, 18: 508, 512, 218
Tains Ants, First Nation, 19: 488, 488, 46
Tains Ants, First Nation, 20: 512, 508, 234
Tains Ants, First Nation, 21: 484, 492, 62
Tains Ants, First Nation, 22: 516, 504, 250
Tains Ants, First Nation, 23: 484, 496, 79
Tains Ants, First Nation, 24: 516, 500, 267
Tains Ants, First Nation, 25: 484, 500, 95
Tains Ants, First Nation, 26: 516, 496, 283
Tains Ants, First Nation, 27: 484, 504, 111
Tains Ants, First Nation, 28: 512, 492, 299
Tains Ants, First Nation, 29: 488, 508, 127
Tains Ants, First Nation, 30: 512, 488, 315
Tains Ants, First Nation, 31: 492, 512, 143
Tains Ants, First Nation, 32: 508, 488, 331
Tains Ants, First Nation, 33: 496, 516, 159
Tains Ants, First Nation, 34: 504, 484, 347
Tains Ants, First Nation, 35: 500, 516, 175
Tains Ants, First Nation, 36: 500, 484, 4
Tains Ants, First Nation, 37: 504, 516, 192
Tains Ants, First Nation, 38: 496, 484, 20
Tains Ants, First Nation, 39: 508, 516, 208
Tains Ants, First Nation, 40: 492, 488, 36
Tains Ants, First Nation, 41: 512, 512, 224
Tains Ants, First Nation, 42: 488, 492, 52
Tains Ants, First Nation, 43: 512, 508, 240
Tains Ants, First Nation, 44: 484, 496, 68
Tains Ants, First Nation, 45: 516, 504, 256
Tains Ants, First Nation, 46: 484, 500, 84
Tains Ants, First Nation, 47: 516, 500, 272
Tains Ants, First Nation, 48: 484, 504, 100
Tains Ants, First Nation, 49: 516, 496, 288
Tains Ants, First Nation, 50: 484, 508, 117
Tains Ants, Second Nation, 51: 522, 502, 305
Tains Ants, Second Nation, 52: 498, 522, 133
Tains Ants, Second Nation, 53: 522, 498, 321
Tains Ants, Second Nation, 54: 502, 522, 149
Tains Ants, Second Nation, 55: 518, 494, 337
Tains Ants, Second Nation, 56: 506, 526, 165
Tains Ants, Second Nation, 57: 510, 494, 353
Tains Ants, Second Nation, 58: 510, 526, 181
Tains Ants, Second Nation, 59: 506, 494, 9
Tains Ants, Second Nation, 60: 514, 526, 197
Tains Ants, Second Nation, 61: 502, 494, 25
Tains Ants, Second Nation, 62: 518, 522, 213
Tains Ants, Second Nation, 63: 498, 498, 41
Tains Ants, Second Nation, 64: 522, 522, 230
Tains Ants, Second Nation, 65: 498, 502, 58
Tains Ants, Second Nation, 66: 526, 518, 246
Tains Ants, Second Nation, 67: 494, 506, 74
Tains Ants, Second Nation, 68: 526, 514, 262
Tains Ants, Second Nation, 69: 494, 510, 90
Tains Ants, Second Nation, 70: 526, 506, 278
Tains Ants, Second Nation, 71: 494, 514, 106
Tains Ants, Second Nation, 72: 526, 502, 294
Tains Ants, Second Nation, 73: 498, 518, 122
Tains Ants, Second Nation, 74: 522, 498, 310
Tains Ants, Second Nation, 75: 498, 522, 138
Tains Ants, Second Nation, 76: 518, 498, 326
Tains Ants, Second Nation, 77: 502, 526, 155
Tains Ants, Second Nation, 78: 514, 494, 343
Tains Ants, Second Nation, 79: 506, 526, 171
Tains Ants, Second Nation, 80: 510, 494, 359
Tains Ants, Second Nation, 81: 510, 526, 187
Tains Ants, Second Nation, 82: 506, 494, 15
Tains Ants, Second Nation, 83: 518, 526, 203
Tains Ants, Second Nation, 84: 502, 498, 31
Tains Ants, Second Nation, 85: 522, 522, 219
Tains Ants, Second Nation, 86: 498, 498, 47
Tains Ants, Second Nation, 87: 522, 518, 235
Tains Ants, Second Nation, 88: 494, 502, 63
Tains Ants, Second Nation, 89: 526, 514, 251
Tains Ants, Second Nation, 90: 494, 506, 79
Tains Ants, Second Nation, 91: 526, 510, 268
Tains Ants, Second Nation, 92: 494, 510, 96
Tains Ants, Second Nation, 93: 526, 506, 284
Tains Ants, Second Nation, 94: 494, 514, 112
Tains Ants, Second Nation, 95: 522, 502, 300
Tains Ants, Second Nation, 96: 498, 518, 128
Tains Ants, Second Nation, 97: 522, 498, 316
Tains Ants, Second Nation, 98: 502, 522, 144
Tains Ants, Second Nation, 99: 518, 494, 332
Tains Ants, Second Nation, 100: 506, 526, 160
*********************
 Round, 5:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 520, 505, 261
Tains Ants, First Nation, 2: 480, 500, 89
Tains Ants, First Nation, 3: 520, 500, 277
Tains Ants, First Nation, 4: 480, 505, 105
Tains Ants, First Nation, 5: 520, 490, 293
Tains Ants, First Nation, 6: 485, 510, 121
Tains Ants, First Nation, 7: 515, 485, 309
Tains Ants, First Nation, 8: 485, 515, 137
Tains Ants, First Nation, 9: 510, 485, 326
Tains Ants, First Nation, 10: 490, 520, 154
Tains Ants, First Nation, 11: 505, 480, 342
Tains Ants, First Nation, 12: 495, 520, 170
Tains Ants, First Nation, 13: 500, 480, 358
Tains Ants, First Nation, 14: 500, 520, 186
Tains Ants, First Nation, 15: 495, 480, 14
Tains Ants, First Nation, 16: 505, 520, 202
Tains Ants, First Nation, 17: 490, 485, 30
Tains Ants, First Nation, 18: 510, 515, 218
Tains Ants, First Nation, 19: 485, 485, 46
Tains Ants, First Nation, 20: 515, 510, 234
Tains Ants, First Nation, 21: 480, 490, 62
Tains Ants, First Nation, 22: 520, 505, 250
Tains Ants, First Nation, 23: 480, 495, 79
Tains Ants, First Nation, 24: 520, 500, 267
Tains Ants, First Nation, 25: 480, 500, 95
Tains Ants, First Nation, 26: 520, 495, 283
Tains Ants, First Nation, 27: 480, 505, 111
Tains Ants, First Nation, 28: 515, 490, 299
Tains Ants, First Nation, 29: 485, 510, 127
Tains Ants, First Nation, 30: 515, 485, 315
Tains Ants, First Nation, 31: 490, 515, 143
Tains Ants, First Nation, 32: 510, 485, 331
Tains Ants, First Nation, 33: 495, 520, 159
Tains Ants, First Nation, 34: 505, 480, 347
Tains Ants, First Nation, 35: 500, 520, 175
Tains Ants, First Nation, 36: 500, 480, 4
Tains Ants, First Nation, 37: 505, 520, 192
Tains Ants, First Nation, 38: 495, 480, 20
Tains Ants, First Nation, 39: 510, 520, 208
Tains Ants, First Nation, 40: 490, 485, 36
Tains Ants, First Nation, 41: 515, 515, 224
Tains Ants, First Nation, 42: 485, 490, 52
Tains Ants, First Nation, 43: 515, 510, 240
Tains Ants, First Nation, 44: 480, 495, 68
Tains Ants, First Nation, 45: 520, 505, 256
Tains Ants, First Nation, 46: 480, 500, 84
Tains Ants, First Nation, 47: 520, 500, 272
Tains Ants, First Nation, 48: 480, 505, 100
Tains Ants, First Nation, 49: 520, 495, 288
Tains Ants, First Nation, 50: 480, 510, 117
Tains Ants, Second Nation, 51: 525, 500, 305
Tains Ants, Second Nation, 52: 495, 525, 133
Tains Ants, Second Nation, 53: 525, 495, 321
Tains Ants, Second Nation, 54: 500, 525, 149
Tains Ants, Second Nation, 55: 520, 490, 337
Tains Ants, Second Nation, 56: 505, 530, 165
Tains Ants, Second Nation, 57: 510, 490, 353
Tains Ants, Second Nation, 58: 510, 530, 181
Tains Ants, Second Nation, 59: 505, 490, 9
Tains Ants, Second Nation, 60: 515, 530, 197
Tains Ants, Second Nation, 61: 500, 490, 25
Tains Ants, Second Nation, 62: 520, 525, 213
Tains Ants, Second Nation, 63: 495, 495, 41
Tains Ants, Second Nation, 64: 525, 525, 230
Tains Ants, Second Nation, 65: 495, 500, 58
Tains Ants, Second Nation, 66: 530, 520, 246
Tains Ants, Second Nation, 67: 490, 505, 74
Tains Ants, Second Nation, 68: 530, 515, 262
Tains Ants, Second Nation, 69: 490, 510, 90
Tains Ants, Second Nation, 70: 530, 505, 278
Tains Ants, Second Nation, 71: 490, 515, 106
Tains Ants, Second Nation, 72: 530, 500, 294
Tains Ants, Second Nation, 73: 495, 520, 122
Tains Ants, Second Nation, 74: 525, 495, 310
Tains Ants, Second Nation, 75: 495, 525, 138
Tains Ants, Second Nation, 76: 520, 495, 326
Tains Ants, Second Nation, 77: 500, 530, 155
Tains Ants, Second Nation, 78: 515, 490, 343
Tains Ants, Second Nation, 79: 505, 530, 171
Tains Ants, Second Nation, 80: 510, 490, 359
Tains Ants, Second Nation, 81: 510, 530, 187
Tains Ants, Second Nation, 82: 505, 490, 15
Tains Ants, Second Nation, 83: 520, 530, 203
Tains Ants, Second Nation, 84: 500, 495, 31
Tains Ants, Second Nation, 85: 525, 525, 219
Tains Ants, Second Nation, 86: 495, 495, 47
Tains Ants, Second Nation, 87: 525, 520, 235
Tains Ants, Second Nation, 88: 490, 500, 63
Tains Ants, Second Nation, 89: 530, 515, 251
Tains Ants, Second Nation, 90: 490, 505, 79
Tains Ants, Second Nation, 91: 530, 510, 268
Tains Ants, Second Nation, 92: 490, 510, 96
Tains Ants, Second Nation, 93: 530, 505, 284
Tains Ants, Second Nation, 94: 490, 515, 112
Tains Ants, Second Nation, 95: 525, 500, 300
Tains Ants, Second Nation, 96: 495, 520, 128
Tains Ants, Second Nation, 97: 525, 495, 316
Tains Ants, Second Nation, 98: 500, 525, 144
Tains Ants, Second Nation, 99: 520, 490, 332
Tains Ants, Second Nation, 100: 505, 530, 160
*********************
 Round, 6:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 524, 506, 261
Tains Ants, First Nation, 2: 476, 500, 89
Tains Ants, First Nation, 3: 524, 500, 277
Tains Ants, First Nation, 4: 476, 506, 105
Tains Ants, First Nation, 5: 524, 488, 293
Tains Ants, First Nation, 6: 482, 512, 121
Tains Ants, First Nation, 7: 518, 482, 309
Tains Ants, First Nation, 8: 482, 518, 137
Tains Ants, First Nation, 9: 512, 482, 326
Tains Ants, First Nation, 10: 488, 524, 154
Tains Ants, First Nation, 11: 506, 476, 342
Tains Ants, First Nation, 12: 494, 524, 170
Tains Ants, First Nation, 13: 500, 476, 358
Tains Ants, First Nation, 14: 500, 524, 186
Tains Ants, First Nation, 15: 494, 476, 14
Tains Ants, First Nation, 16: 506, 524, 202
Tains Ants, First Nation, 17: 488, 482, 30
Tains Ants, First Nation, 18: 512, 518, 218
Tains Ants, First Nation, 19: 482, 482, 46
Tains Ants, First Nation, 20: 518, 512, 234
Tains Ants, First Nation, 21: 476, 488, 62
Tains Ants, First Nation, 22: 524, 506, 250
Tains Ants, First Nation, 23: 476, 494, 79
Tains Ants, First Nation, 24: 524, 500, 267
Tains Ants, First Nation, 25: 476, 500, 95
Tains Ants, First Nation, 26: 524, 494, 283
Tains Ants, First Nation, 27: 476, 506, 111
Tains Ants, First Nation, 28: 518, 488, 299
Tains Ants, First Nation, 29: 482, 512, 127
Tains Ants, First Nation, 30: 518, 482, 315
Tains Ants, First Nation, 31: 488, 518, 143
Tains Ants, First Nation, 32: 512, 482, 331
Tains Ants, First Nation, 33: 494, 524, 159
Tains Ants, First Nation, 34: 506, 476, 347
Tains Ants, First Nation, 35: 500, 524, 175
Tains Ants, First Nation, 36: 500, 476, 4
Tains Ants, First Nation, 37: 506, 524, 192
Tains Ants, First Nation, 38: 494, 476, 20
Tains Ants, First Nation, 39: 512, 524, 208
Tains Ants, First Nation, 40: 488, 482, 36
Tains Ants, First Nation, 41: 518, 518, 224
Tains Ants, First Nation, 42: 482, 488, 52
Tains Ants, First Nation, 43: 518, 512, 240
Tains Ants, First Nation, 44: 476, 494, 68
Tains Ants, First Nation, 45: 524, 506, 256
Tains Ants, First Nation, 46: 476, 500, 84
Tains Ants, First Nation, 47: 524, 500, 272
Tains Ants, First Nation, 48: 476, 506, 100
Tains Ants, First Nation, 49: 524, 494, 288
Tains Ants, First Nation, 50: 476, 512, 117
Tains Ants, Second Nation, 51: 528, 498, 305
Tains Ants, Second Nation, 52: 492, 528, 133
Tains Ants, Second Nation, 53: 528, 492, 321
Tains Ants, Second Nation, 54: 498, 528, 149
Tains Ants, Second Nation, 55: 522, 486, 337
Tains Ants, Second Nation, 56: 504, 534, 165
Tains Ants, Second Nation, 57: 510, 486, 353
Tains Ants, Second Nation, 58: 510, 534, 181
Tains Ants, Second Nation, 59: 504, 486, 9
Tains Ants, Second Nation, 60: 516, 534, 197
